"Group.1"	"countrycode"	"year"	"rgdpe"	"rgdpna"	"rconna"	"rkna"	"rtfpna"	"rwtfpna"	"labsh"	"delta"	"csh_c"	"csh_i"	"csh_g"	"csh_x"	"csh_m"
"1"	1950	NA	1950	92864.2099748889	100244.564828941	83077.5109962593	264649.715882352	0.67340003790625	0.69317951984375	0.582391597795918	NA	0.706470403425926	0.184632578259259	0.121097372222222	0.137136396685185	-0.160643102537037
"2"	1951	NA	1951	91276.7566399153	99286.4342316102	81743.2276887424	259022.167819051	0.699269168617647	0.722271641382353	0.574712867	0.0347916741666667	0.707917124016949	0.192026871627119	0.130443070949153	0.150671049338983	-0.192703920288136
"3"	1952	NA	1952	99899.5258245167	104713.999325017	87286.5608985233	271196.24602945	0.700341335371429	0.7187397096	0.574422981545455	0.0356315350847458	0.701834699	0.1867677139	0.1320420295	0.141856782466667	-0.170542452
"4"	1953	NA	1953	102452.801905565	107017.971812658	89302.4709685419	272957.522533661	0.7109295148	0.734372465142857	0.575654927070175	0.0359267617166667	0.702755361370968	0.187756053016129	0.130293285	0.133874756241935	-0.159726067306452
"5"	1954	NA	1954	99540.0330572909	103838.192513803	86338.6174861091	266721.0215695	0.722907888914286	0.753837255085714	0.576287192133333	0.0361754848387097	0.863502295090909	0.222080266515152	0.157531714136364	0.144063296240909	-0.398619951549848
"6"	1955	NA	1955	101229.069459944	105845.62533847	86618.3480243271	265910.762398843	0.742802880428571	0.7760625984	0.573623212129032	0.0363023078484849	0.8445956345	0.225974008485714	0.156836733571429	0.15423873384	-0.382831541600429
"7"	1956	NA	1956	105314.484605017	110254.474512567	89950.1735021014	277460.012595243	0.750475416583333	0.778386409083333	0.573894228677419	0.0367742471	0.767350367585714	0.216935191	0.1488592817	0.148393219537143	-0.285995036743
"8"	1957	NA	1957	109521.578149379	114617.202822746	93494.9336053029	289495.014022143	0.763156990194444	0.794789830833333	0.573869922483871	0.0369953224571429	0.7644658468	0.227318002971429	0.149868439442857	0.146217266515714	-0.292644561759857
"9"	1958	NA	1958	113114.1032461	117637.744034176	96225.5484236929	301163.067202043	0.764328068388889	0.79102567325	0.573882010693548	0.0373519059571429	0.725443628885714	0.207450305128571	0.148052968214286	0.136930392406429	-0.220729914441286
"10"	1959	NA	1959	114523.078288324	118169.772268476	95359.9939862905	299160.762672203	0.773575342361111	0.796867059388889	0.5762395505	0.0374601037142857	0.717550957094595	0.192633223621622	0.143772267175676	0.134582800929054	-0.195898216831351
