Group.1	countrycode	year	rgdpe	rgdpna	rconna	rkna	rtfpna	rwtfpna	labsh	delta	csh_c	csh_i	csh_g	csh_x	csh_m		wageb
1	1950	NA	1950	92864.20997	100244.5648	83077.511	264649.7159	0.673400038	0.69317952	0.582391598	NA	0.706470403	0.184632578	0.121097372	0.137136397	-0.160643103	64322.61149
2	1951	NA	1951	91276.75664	99286.43423	81743.22769	259022.1678	0.699269169	0.722271641	0.574712867	0.034791674	0.707917124	0.192026872	0.130443071	0.150671049	-0.19270392	62573.92804
3	1952	NA	1952	99899.52582	104713.9993	87286.5609	271196.246	0.700341335	0.71873971	0.574422982	0.035631535	0.701834699	0.186767714	0.13204203	0.141856782	-0.170542452	68258.20833
4	1953	NA	1953	102452.8019	107017.9718	89302.47097	272957.5225	0.710929515	0.734372465	0.575654927	0.035926762	0.702755361	0.187756053	0.130293285	0.133874756	-0.159726067	69840.57517
5	1954	NA	1954	99540.03306	103838.1925	86338.61749	266721.0216	0.722907889	0.753837255	0.576287192	0.036175485	0.863502295	0.222080267	0.157531714	0.144063296	-0.398619952	68330.29133
6	1955	NA	1955	101229.0695	105845.6253	86618.34802	265910.7624	0.74280288	0.776062598	0.573623212	0.036302308	0.844595635	0.225974008	0.156836734	0.154238734	-0.382831542	70649.16276
7	1956	NA	1956	105314.4846	110254.4745	89950.1735	277460.0126	0.750475417	0.778386409	0.573894229	0.036774247	0.767350368	0.216935191	0.148859282	0.14839322	-0.285995037	74172.36669
8	1957	NA	1957	109521.5781	114617.2028	93494.93361	289495.014	0.76315699	0.794789831	0.573869922	0.036995322	0.764465847	0.227318003	0.149868439	0.146217267	-0.292644562	76889.38251
9	1958	NA	1958	113114.1032	117637.744	96225.54842	301163.0672	0.764328068	0.791025673	0.573882011	0.037351906	0.725443629	0.207450305	0.148052968	0.136930392	-0.220729914	79284.21491
10	1959	NA	1959	114523.0783	118169.7723	95359.99399	299160.7627	0.773575342	0.796867059	0.576239551	0.037460104	0.717550957	0.192633224	0.143772267	0.134582801	-0.195898217	81239.35199
11	1960	NA	1960	84589.9648	88349.71799	70307.1229	222574.4461	0.847363437	0.851017486	0.570278757	0.037264042	0.737445687	0.1917704	0.163611339	0.165261662	-0.261109961	63796.21139
12	1961	NA	1961	84855.77113	91013.31619	72650.57815	232031.6312	0.863924905	0.862841843	0.57032601	0.036651864	0.728599112	0.187243055	0.173001457	0.161429504	-0.252634602	64085.6354
13	1962	NA	1962	89639.13346	95908.18062	76598.5113	242525.6994	0.879271893	0.878049569	0.570391838	0.036739785	0.716149285	0.178640062	0.172845676	0.151494638	-0.220405835	67573.03483
14	1963	NA	1963	94816.96114	100937.3291	80430.02427	253836.4374	0.898952627	0.900909929	0.570411971	0.03677428	0.592028591	0.135335432	0.150000557	0.149106519	-0.022540596	71344.11905
15	1964	NA	1964	100646.6947	106644.6003	84051.29811	264654.6911	0.923697405	0.926621324	0.570332202	0.036764132	0.725294566	0.190456454	0.171706242	0.161286886	-0.247408079	76286.71365
16	1965	NA	1965	106076.6897	112351.0496	87924.82954	278700.3193	0.935440693	0.934958984	0.570200336	0.036920314	0.699497507	0.183696718	0.170843149	0.158864893	-0.211794558	80152.53228
17	1966	NA	1966	112123.1145	118409.4006	92351.34423	293654.6419	0.946570929	0.946295279	0.570177625	0.037111143	0.690503469	0.186016386	0.174296127	0.158949682	-0.208060293	84737.71218
18	1967	NA	1967	115612.298	122988.5798	96742.1366	308223.2106	0.953191592	0.953127804	0.570228733	0.037470956	0.686057807	0.180576705	0.179703723	0.152906483	-0.197936499	87839.24273
